OBJECTID,COUNTY,CITY,Shape__Area,Shape__Length,GlobalID
435,San Joaquin,Tracy,109828024.027344,128899.37678558,528aa343-6e1b-40e5-8f69-ca13170c32bf
436,Humboldt,Trinidad,2076952.69921875,13033.1811784926,d898e43d-ccaf-4ae4-ac80-8670d5a0178a
437,Nevada,Truckee,146124763.253906,92677.013875475,48be76d2-b276-4d79-b6d4-efe04e26157f
438,Tulare,Tulare,81450731.2929688,80939.1074005729,6cbc5570-702a-4644-a8ea-b7899b4349a0
439,Siskiyou,Tulelake,1910090.3203125,6727.17544813947,b6a65be9-57ef-487c-be2f-abaf7119f30a
440,Stanislaus,Turlock,69493672.6171875,63723.1993275508,5b6d31fb-3ce8-41c6-ac23-768f86ce0d0c
441,Orange,Tustin,41820895.9375,57145.1763645262,faf57a9c-093d-479e-92ce-8e051d38b516
442,San Bernardino,Twentynine Palms,222715993.351563,106740.922849077,a7413e3a-b057-4dab-b9b6-6cec101bc4cd
443,Mendocino,Ukiah,20608561.9023438,36972.481228619,fb4fd85b-688d-477e-90c2-acf088b22c19
444,Alameda,Union City,80377660.4648438,71695.2447590985,6aa7416d-fd1d-4a4f-93c4-0770fbb1a2e5
445,San Bernardino,Upland,59394283.703125,35235.9098136648,126b8229-3e2a-459d-855f-f1b727496269
446,Solano,Vacaville,125859689.722656,99661.3418556159,cd5fff18-597a-492c-b806-b537dc537746
447,Solano,Vallejo,128781938.925781,111406.58078821,5d233983-df7a-4a5e-ad14-bdd6b020d88a
448,Ventura,Ventura,84183660.671875,127366.153137471,b6ca1816-a490-4ca0-b0fc-1f9f22f61b61
449,Los Angeles,Vernon,19472683.6210938,31186.4239824758,9bf3612c-3f05-490d-9f65-a208b544375b
450,San Bernardino,Victorville,283232286.65625,142990.449724695,a98d7a6e-5a5c-477e-af88-acfb9f11f70f
451,Orange,Villa Park,7853818.37890625,17655.3859711759,05c51b3c-8ec6-4d1c-ae38-dff22af2d203
452,Tulare,Visalia,153180776.375,132472.38948029,50e29e46-a597-43c8-a3e1-f5a96bda5338
453,San Diego,Vista,69662663.796875,99294.9360690489,92ca4e60-39bd-451c-968a-9b06e89a3d30
454,Los Angeles,Walnut,33932903.1796875,33705.1607973171,ae2139a0-501d-469a-ada3-016c2a66a4a9
455,Contra Costa,Walnut Creek,82428801.484375,116944.312635597,adc694f6-2fb6-4cc4-8926-6241ea3f6fd3
456,Kern,Wasco,37477413.03125,51022.8149686062,ee4b3a57-a6a3-4f50-a139-d4a389b8cf6c
457,Stanislaus,Waterford,10166347.6875,18582.4891401087,c457bafe-f200-4f65-9931-1b8a36f71f28
458,Santa Cruz,Watsonville,27580445.25,48950.2137587499,7d940c0c-5837-422e-abd6-70af8246d149
459,Siskiyou,Weed,22193265.7539063,36202.9728628581,b7c479d4-a39c-4f00-a78d-17da1c164456
460,Los Angeles,West Covina,60787433.9882813,75435.3600168253,6787f7e3-650e-4458-89f1-12cfad6e98db
461,Los Angeles,West Hollywood,7178771.4921875,21043.1206737822,a5521376-b045-4227-a9c9-2289a4fda883
462,Yolo,West Sacramento,97647197.203125,46539.3055212368,e106bd6c-95b2-437e-8544-9ceb8d6ca372
463,Los Angeles,Westlake Village,20803175.9101563,23742.8009022052,2abfa6de-fb85-4c01-890a-1e46210f7628
464,Orange,Westminster,37856067.8945313,54680.6146773354,901af9fe-a6a1-43b7-8b01-a9ac2a0b78bb
465,Imperial,Westmorland,2278996.96484375,11110.2035510941,98ef1b30-ee17-46ee-b863-4f33bc7ef9ca
466,Yuba,Wheatland,34931643.8710938,46816.2199893527,605ac660-f0b1-47c2-ba83-7adc6f311e3d
467,Los Angeles,Whittier,55332675.2070313,60122.3409694454,9a76d19e-c723-4ff4-9f12-66366c729a27
468,Riverside,Wildomar,88793381.0898438,42930.1354892912,900fffad-d4c4-40d4-a556-4338fd6123fd
469,Colusa,Williams,21810706.8789063,31323.7559121148,8d61708a-ae37-4d43-bd2c-90bf3edf3a36
470,Mendocino,Willits,12210984.328125,29849.4400068214,ac2c60fd-0866-4aa8-9388-832467951ce3
471,Glenn,Willows,12296339.8085938,22524.0806156911,610d03de-4ea4-48d6-ae9e-3939071fb906
472,Sonoma,Windsor,31964864.0976563,57540.81457591,090a768b-25e5-4310-8d66-b11805d58729
473,Yolo,Winters,10804762.296875,24490.1125811704,e34317bc-3495-4d22-98ec-87face98e432
474,Tulare,Woodlake,13124119.4492188,29231.0651581337,9c1c72b0-daa2-4d07-a3e6-2bb77c95031e
475,Yolo,Woodland,63904987.75,73095.5181818295,df617f85-f032-4911-a177-1b7005b78c0e
476,San Mateo,Woodside,47181679.84375,59404.639204305,be919321-84a8-451a-bab8-106098c95dec
477,Orange,Yorba Linda,75095135.09375,73709.6961450616,26cab1e0-ea41-497a-a61a-526213d5578c
478,Napa,Yountville,6139924.5,18166.7764789401,735a240a-584d-4627-8090-a2e92033d000
479,Siskiyou,Yreka,46798868.375,64683.1907662048,a1a1efeb-3906-417a-812e-2184e2101bd5
480,Sutter,Yuba City,66302159.09375,74665.9520026705,060e429b-d220-42b0-82c9-bb07aa3ceb8b
481,San Bernardino,Yucaipa,106858391.742188,66660.7723633347,048cc48d-99e6-4541-97c5-27b43a221a05
482,San Bernardino,Yucca Valley,150931680.210938,63739.2351735885,680fbc80-bd8b-4699-8097-b49c2b3f207e
