Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A17007B_001,SE_A17007B_002,SE_A17007B_003,SE_A17007B_004,SE_A17007B_005,SE_A17007B_006,SE_A17007B_007,SE_A17007B_008,SE_A17007B_009,SE_A17007B_010,SE_A17007B_011,SE_A17007B_012,SE_A17007B_013,SE_A17007B_014,SE_A14006_001,SE_A17007A_001,SE_A17007A_002,SE_A17007A_003,SE_A17007A_004,SE_A17007A_005,SE_A17007A_006,SE_A17007A_007,SE_A17007A_008,SE_A17007A_009,SE_A17007A_010,SE_A17007A_011,SE_A17007A_012,SE_A17007A_013,SE_A17007A_014,SE_A00002_001,SE_A00002_002,SE_A00002_003
"060710003012","15000US060710003012","Block Group 2, Census Tract 3.01, San Bernardino County, California","Block Group 2, Census Tract 3.01, San Bernardino County, California","ca","150","00","ACSSF","0025754",,,,,"06","071",,,,"000301","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381,25,52,0,0,0,34,31,20,85,16,0,60,58,28854,442,6,24,0,12,0,47,0,0,23,32,186,32,80,2338,19058.41,0.122675471855468
"060710003013","15000US060710003013","Block Group 3, Census Tract 3.01, San Bernardino County, California","Block Group 3, Census Tract 3.01, San Bernardino County, California","ca","150","00","ACSSF","0025755",,,,,"06","071",,,,"000301","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286,0,0,37,0,0,13,25,50,21,0,0,22,118,41379,467,0,6,0,0,74,45,0,5,0,0,172,114,51,1876,29653.15,0.063264771883113
"060710003014","15000US060710003014","Block Group 4, Census Tract 3.01, San Bernardino County, California","Block Group 4, Census Tract 3.01, San Bernardino County, California","ca","150","00","ACSSF","0025756",,,,,"06","071",,,,"000301","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514,14,29,79,0,23,18,53,86,65,20,0,41,86,31858,777,0,107,0,36,83,43,31,36,148,31,137,74,51,3152,21301.26,0.147972500258688
"060710003031","15000US060710003031","Block Group 1, Census Tract 3.03, San Bernardino County, California","Block Group 1, Census Tract 3.03, San Bernardino County, California","ca","150","00","ACSSF","0025757",,,,,"06","071",,,,"000303","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,24,13,0,13,21,23,15,37,40,0,0,8,33,40540,576,19,30,0,0,23,43,23,56,7,0,231,67,77,2370,8633.548,0.274510538272764
"060710003032","15000US060710003032","Block Group 2, Census Tract 3.03, San Bernardino County, California","Block Group 2, Census Tract 3.03, San Bernardino County, California","ca","150","00","ACSSF","0025758",,,,,"06","071",,,,"000303","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,28,21,9,0,8,0,7,27,92,0,0,14,16,36594,168,24,0,0,0,0,0,0,16,65,0,16,26,21,1021,4266.756,0.239291842278806
"060710003033","15000US060710003033","Block Group 3, Census Tract 3.03, San Bernardino County, California","Block Group 3, Census Tract 3.03, San Bernardino County, California","ca","150","00","ACSSF","0025759",,,,,"06","071",,,,"000303","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299,11,17,0,0,63,21,27,26,11,0,0,57,66,60576,391,7,11,0,0,45,19,0,27,0,0,27,95,160,1822,19169.59,0.0950463863153034
"060710003034","15000US060710003034","Block Group 4, Census Tract 3.03, San Bernardino County, California","Block Group 4, Census Tract 3.03, San Bernardino County, California","ca","150","00","ACSSF","0025760",,,,,"06","071",,,,"000303","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297,48,45,24,14,0,22,30,4,30,0,0,74,6,55469,486,28,21,20,0,29,55,0,32,40,0,140,71,50,2151,10742.26,0.200237221176314
"060710003041","15000US060710003041","Block Group 1, Census Tract 3.04, San Bernardino County, California","Block Group 1, Census Tract 3.04, San Bernardino County, California","ca","150","00","ACSSF","0025761",,,,,"06","071",,,,"000304","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421,76,126,10,0,11,0,35,26,101,0,0,36,0,63958,422,72,35,0,21,13,5,38,58,24,0,47,15,94,2086,4004.592,0.5209020273453
"060710003042","15000US060710003042","Block Group 2, Census Tract 3.04, San Bernardino County, California","Block Group 2, Census Tract 3.04, San Bernardino County, California","ca","150","00","ACSSF","0025762",,,,,"06","071",,,,"000304","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389,38,111,11,23,29,0,57,41,58,0,0,21,0,67303,536,74,73,0,9,14,32,34,95,39,0,31,33,102,2092,6166.547,0.339249834362167
"060710003043","15000US060710003043","Block Group 3, Census Tract 3.04, San Bernardino County, California","Block Group 3, Census Tract 3.04, San Bernardino County, California","ca","150","00","ACSSF","0025763",,,,,"06","071",,,,"000304","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284,9,46,5,10,41,26,3,56,13,0,0,49,26,53017,598,17,0,0,10,81,11,0,109,6,0,117,10,237,2004,4994.679,0.401226955491686
