Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00001_001,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017
"06059062900","Census Tract 629, Orange County, California","ACSSF","ca","140","00","0007341",,,,,"06","059",,,"062900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06059062900","Census Tract 629",,,,1717,1717,1498,0,1,140,0,17,61,1717,1645,1497,0,1,140,0,0,7,72,1,0,0,0,0,17,54
"06059063004","Census Tract 630.04, Orange County, California","ACSSF","ca","140","00","0007342",,,,,"06","059",,,"063004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06059063004","Census Tract 630.04",,,,5966,5966,4871,197,27,450,0,34,387,5966,5572,4675,197,27,439,0,15,219,394,196,0,0,11,0,19,168
"06059063005","Census Tract 630.05, Orange County, California","ACSSF","ca","140","00","0007343",,,,,"06","059",,,"063005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06059063005","Census Tract 630.05",,,,1444,1444,1343,11,0,57,0,0,33,1444,1430,1339,11,0,57,0,0,23,14,4,0,0,0,0,0,10
"06059063006","Census Tract 630.06, Orange County, California","ACSSF","ca","140","00","0007344",,,,,"06","059",,,"063006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06059063006","Census Tract 630.06",,,,2471,2471,2371,0,0,49,0,0,51,2471,2415,2366,0,0,49,0,0,0,56,5,0,0,0,0,0,51
"06059063007","Census Tract 630.07, Orange County, California","ACSSF","ca","140","00","0007345",,,,,"06","059",,,"063007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06059063007","Census Tract 630.07",,,,6716,6716,5324,0,0,747,0,373,272,6716,6316,5193,0,0,716,0,263,144,400,131,0,0,31,0,110,128
"06059063008","Census Tract 630.08, Orange County, California","ACSSF","ca","140","00","0007346",,,,,"06","059",,,"063008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06059063008","Census Tract 630.08",,,,2062,2062,1255,63,0,209,0,8,527,2062,1648,1241,63,0,209,0,0,135,414,14,0,0,0,0,8,392
"06059063009","Census Tract 630.09, Orange County, California","ACSSF","ca","140","00","0007347",,,,,"06","059",,,"063009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06059063009","Census Tract 630.09",,,,1718,1718,1488,0,0,118,0,0,112,1718,1589,1435,0,0,118,0,0,36,129,53,0,0,0,0,0,76
"06059063010","Census Tract 630.10, Orange County, California","ACSSF","ca","140","00","0007348",,,,,"06","059",,,"063010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06059063010","Census Tract 630.10",,,,6465,6465,5426,50,0,215,0,142,632,6465,5611,5090,50,0,215,0,0,256,854,336,0,0,0,0,142,376
"06059063101","Census Tract 631.01, Orange County, California","ACSSF","ca","140","00","0007349",,,,,"06","059",,,"063101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06059063101","Census Tract 631.01",,,,3168,3168,2135,176,129,189,0,192,347,3168,2417,1816,176,3,189,0,0,233,751,319,0,126,0,0,192,114
"06059063102","Census Tract 631.02, Orange County, California","ACSSF","ca","140","00","0007350",,,,,"06","059",,,"063102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06059063102","Census Tract 631.02",,,,6295,6295,4900,6,31,368,0,374,616,6295,5497,4718,6,31,302,0,0,440,798,182,0,0,66,0,374,176
