,STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,geometry
5072,06,071,001806,1400000US06071001806,06071001806,18.06,CT,1460912,0,"POLYGON ((-117.63714999999999 34.03037, -117.63712 34.026665, -117.6371 34.023469999999996, -117.63704899999999 34.019433, -117.628333 34.019484999999996, -117.623969 34.019501999999996, -117.624054 34.026745, -117.624081 34.02992, -117.623377 34.030389, -117.628427 34.030386, -117.631457 34.030192, -117.63714999999999 34.03037))"
6539,06,071,001312,1400000US06071001312,06071001312,13.12,CT,2701221,0,"POLYGON ((-117.61112299999999 34.092064, -117.611206 34.084885, -117.61103800000001 34.077579, -117.610991 34.072415, -117.611175 34.070910999999995, -117.611176 34.07076, -117.605491 34.068774999999995, -117.596386 34.067741999999996, -117.593358 34.067718, -117.59339 34.077529999999996, -117.601107 34.077552, -117.601803 34.081291, -117.602178 34.082485999999996, -117.60343 34.08484, -117.6055 34.088173, -117.608812 34.092061, -117.61112299999999 34.092064))"
6540,06,071,001804,1400000US06071001804,06071001804,18.04,CT,1522368,0,"POLYGON ((-117.650716 34.030338, -117.650649 34.026587, -117.650628 34.019331, -117.63704899999999 34.019433, -117.6371 34.023469999999996, -117.63712 34.026665, -117.63714999999999 34.03037, -117.641496 34.030343, -117.650716 34.030338))"
6544,06,071,002206,1400000US06071002206,06071002206,22.06,CT,1984320,22016,"POLYGON ((-117.593201 34.030505999999995, -117.593164 34.019145, -117.587017 34.019118999999996, -117.584533 34.019085, -117.57580899999999 34.019096999999995, -117.57576399999999 34.020288, -117.575273 34.022644, -117.575165 34.023827, -117.57571899999999 34.028894, -117.580894 34.030156, -117.584558 34.030525, -117.585437 34.030557, -117.593201 34.030505999999995))"
7177,06,071,001803,1400000US06071001803,06071001803,18.03,CT,9198141,0,"POLYGON ((-117.636614 34.054981999999995, -117.636675 34.052133999999995, -117.636976 34.051491999999996, -117.637224 34.050973, -117.637248 34.037497, -117.63714999999999 34.03037, -117.631457 34.030192, -117.628427 34.030386, -117.623377 34.030389, -117.611001 34.030457999999996, -117.606595 34.030485999999996, -117.59932599999999 34.030476, -117.593201 34.030505999999995, -117.593273 34.044083, -117.610919 34.04994, -117.62314 34.054013, -117.624639 34.054376999999995, -117.628615 34.054891999999995, -117.636614 34.054981999999995))"
7388,06,071,000603,1400000US06071000603,06071000603,6.03,CT,2253128,0,"POLYGON ((-117.698171 34.03353, -117.698105 34.026281, -117.68938299999999 34.026339, -117.68068099999999 34.026378, -117.667599 34.026471, -117.667639 34.03029, -117.667783 34.031921, -117.667904 34.032178, -117.669045 34.033711, -117.672019 34.033682999999996, -117.678555 34.03365, -117.680732 34.033642, -117.681843 34.033629999999995, -117.689457 34.033615999999995, -117.693815 34.033556, -117.698171 34.03353))"
7390,06,071,001702,1400000US06071001702,06071001702,17.02,CT,2499444,0,"POLYGON ((-117.68076500000001 34.048356, -117.680837 34.047742, -117.680816 34.040897, -117.680748 34.035433, -117.680732 34.033642, -117.678555 34.03365, -117.672019 34.033682999999996, -117.669045 34.033711, -117.66982 34.035129, -117.669916 34.040985, -117.66979 34.049158, -117.669867 34.055994, -117.680835 34.055966999999995, -117.68079900000001 34.05489, -117.680784 34.053149, -117.68075 34.048395, -117.68076500000001 34.048356))"
7391,06,071,001813,1400000US06071001813,06071001813,18.13,CT,1549571,0,"POLYGON ((-117.650807 34.054967999999995, -117.650773 34.050402999999996, -117.65077 34.049248999999996, -117.646017 34.049268, -117.64414099999999 34.048522999999996, -117.644059 34.041089, -117.64160000000001 34.04114, -117.641572 34.037516, -117.637248 34.037497, -117.637224 34.050973, -117.636976 34.051491999999996, -117.636675 34.052133999999995, -117.636614 34.054981999999995, -117.648392 34.054981999999995, -117.650807 34.054967999999995))"
7617,06,071,001001,1400000US06071001001,06071001001,10.01,CT,1445442,0,"POLYGON ((-117.680888 34.087374, -117.680863 34.083656999999995, -117.680822 34.077842, -117.680822 34.077691, -117.680816 34.074197999999996, -117.670092 34.074238, -117.670107 34.077861999999996, -117.670118 34.081502, -117.670137 34.087379, -117.680888 34.087374))"
7698,06,071,001600,1400000US06071001600,06071001600,16,CT,12421094,0,"POLYGON ((-117.680859 34.059861, -117.680835 34.055966999999995, -117.669867 34.055994, -117.663281 34.056024, -117.66237 34.055909, -117.660583 34.055419, -117.658564 34.05499, -117.653532 34.05495, -117.650807 34.054967999999995, -117.648392 34.054981999999995, -117.636614 34.054981999999995, -117.628615 34.054891999999995, -117.624639 34.054376999999995, -117.62314 34.054013, -117.610919 34.04994, -117.593273 34.044083, -117.59328099999999 34.048282, -117.592694 34.048339999999996, -117.575913 34.048257, -117.575818 34.057649, -117.57576 34.061501, -117.577995 34.061757, -117.581344 34.0629, -117.593363 34.062546, -117.593358 34.067718, -117.596386 34.067741999999996, -117.605491 34.068774999999995, -117.611176 34.07076, -117.611013 34.068816, -117.61099 34.067126, -117.610976 34.063514, -117.6285 34.063415, -117.630803 34.063414, -117.637223 34.063397, -117.641333 34.063385, -117.646055 34.063376, -117.646056 34.061138, -117.648456 34.061135, -117.654664 34.061112, -117.655919 34.061105, -117.65591599999999 34.063356999999996, -117.660625 34.063327, -117.670019 34.063311999999996, -117.68081699999999 34.063303999999995, -117.680859 34.059861))"
7699,06,071,001906,1400000US06071001906,06071001906,19.06,CT,7802828,0,"POLYGON ((-117.593164 34.019145, -117.59315 34.011841, -117.593175 33.997254999999996, -117.558429 33.997112, -117.558269 34.018906, -117.56619599999999 34.019007, -117.56712999999999 34.018985, -117.57580899999999 34.019096999999995, -117.584533 34.019085, -117.587017 34.019118999999996, -117.593164 34.019145))"
7701,06,071,002109,1400000US06071002109,06071002109,21.09,CT,4774272,53055,"POLYGON ((-117.59339 34.077529999999996, -117.593358 34.067718, -117.545083 34.067488, -117.54497 34.077233, -117.575705 34.077427, -117.579321 34.077438, -117.59339 34.077529999999996))"
