"Assessor parcel number","Building classification","Year built","Acres","Building sq.ft."
"8378-013-078","Warehousing, Distribution, Storage","2004","2","69564"
"105512106","storage warehouse","2017","2","69554"
"6150-037-044","Warehousing, Distribution, Storage","1953","2","69553"
"3005-046-020","Warehousing, Distribution, Storage","2008","2","69531"
"2149-005-028","Warehousing, Distribution, Storage","1971","2","69513"
"8348-022-053","Warehousing, Distribution, Storage","2014","2","69510"
"105512108","storage warehouse","2017","2","69462"
"7005-006-048","Warehousing, Distribution, Storage","1979","2","69384"
"7339-012-017","Warehousing, Distribution, Storage","2002","2","69383"
"6336-012-037","Warehousing, Distribution, Storage","1956","2","69278"
"7344-004-026","Warehousing, Distribution, Storage","1972","2","69263"
"142150084","warehouse/dry storage","1989","2","69212"
"5171-010-012","Warehousing, Distribution, Storage","2003","2","69208"
"3022-011-015","Warehousing, Distribution, Storage","1983","2","69181"
"2866-009-016","Warehousing, Distribution, Storage","1979","2","69150"
"8576-027-026","Warehousing, Distribution, Storage","1977","2","69145"
"042202224","storage warehouse","1977","2","69134"
"6354-032-012","Warehousing, Distribution, Storage","1960","2","69112"
"2865-002-001","Warehousing, Distribution, Storage","1997","2","69084"
"6304-020-024","Warehousing, Distribution, Storage","1992","2","69077"
"2866-060-036","Warehousing, Distribution, Storage","2006","2","69068"
"3101-016-036","Warehousing, Distribution, Storage","1986","2","69063"
"8011-015-067","Warehousing, Distribution, Storage","1977","2","69060"
"7306-020-019","Warehousing, Distribution, Storage","1977","2","69043"
"045945110","storage warehouse","1992","2","69038"
"6336-010-014","Warehousing, Distribution, Storage","1955","2","69031"
"5191-023-003","Warehousing, Distribution, Storage","1953","2","69031"
"6356-016-009","Warehousing, Distribution, Storage","1981","2","69012"
"3128-009-006","Warehousing, Distribution, Storage","1986","2","68993"
"041527239","storage warehouse","1986","2","68981"
"8011-017-061","Warehousing, Distribution, Storage","1998","2","68972"
"2466-036-016","Warehousing, Distribution, Storage","2004","2","68937"
"160040052","warehouse/dry storage","1910","2","68933"
"8002-019-010","Warehousing, Distribution, Storage","1980","2","68901"
"6335-025-909","Warehousing, Distribution, Storage","1910","2","68869"
"6336-003-067","Warehousing, Distribution, Storage","1957","2","68817"
"4050-007-043","Warehousing, Distribution, Storage","1960","2","68806"
"7306-009-028","Warehousing, Distribution, Storage","1988","2","68798"
"2866-048-022","Warehousing, Distribution, Storage","2005","2","68706"
"312926145","storage warehouse","1994","2","68647"
"172420014","warehouse/dry storage","2004","2","68624"
"8760-001-013","Warehousing, Distribution, Storage","1974","2","68585"
"8378-013-064","Warehousing, Distribution, Storage","1998","2","68578"
"2866-018-100","Warehousing, Distribution, Storage","1980","2","68576"
"021122204","storage warehouse","1990","2","68554"
"7306-002-065","Warehousing, Distribution, Storage","1978","2","68534"
"7377-002-094","Warehousing, Distribution, Storage","1980","2","68518"
"111002106","storage warehouse","2017","2","68510"
"2836-015-021","Warehousing, Distribution, Storage","1986","2","68482"
