"Assessor parcel number","Building classification","Year built","Acres","Building sq.ft."
"8002-019-014","Warehousing, Distribution, Storage","1980","7","186466"
"8528-011-023","Warehousing, Distribution, Storage","1910","7","186390"
"7524-003-057","Warehousing, Distribution, Storage","1910","7","186208"
"022940110","distribution warehouse","2016","7","186207"
"021127535","distribution warehouse","1999","7","186152"
"2866-039-024","Warehousing, Distribution, Storage","2000","7","186052"
"016740109","distribution warehouse","2008","7","186008"
"023805134","distribution warehouse","2006","7","185905"
"7319-039-112","Warehousing, Distribution, Storage","2005","7","185874"
"237040021","light industrial","2004","7","185858"
"8709-027-032","Warehousing, Distribution, Storage","2007","7","185792"
"8208-014-038","Warehousing, Distribution, Storage","2019","7","185691"
"174150004","warehouse/dry storage","1984","7","185657"
"104940110","distribution warehouse","2006","7","185653"
"687510029","light industrial","2021","7","185614"
"2604-002-048","Warehousing, Distribution, Storage","1988","7","185602"
"023805138","storage warehouse","2006","7","185597"
"115050034","light industrial","2004","7","185572"
"249060024","light industrial","1990","7","185510"
"7315-033-031","Warehousing, Distribution, Storage","2005","7","185340"
"178230022","light industrial","1993","7","185335"
"023802154","distribution warehouse","2001","7","185200"
"8242-016-061","Warehousing, Distribution, Storage","2000","7","185047"
"7319-003-024","Warehousing, Distribution, Storage","1972","7","185022"
"5046-013-004","Warehousing, Distribution, Storage","1954","7","185017"
"666330097","light industrial","2004","7","184977"
"119290040","light industrial","1989","7","184931"
"6241-016-023","Warehousing, Distribution, Storage","1980","7","184880"
"7310-013-100","Warehousing, Distribution, Storage","1983","7","184529"
"8710-013-026","Warehousing, Distribution, Storage","1980","7","184508"
"460150014","light industrial","1977","7","184394"
"6308-005-022","Warehousing, Distribution, Storage","1971","7","184365"
"100770101","storage warehouse","1955","7","184316"
"8417-027-088","Warehousing, Distribution, Storage","2003","7","184262"
"025812143","light industrial","1990","7","184241"
"7022-014-026","Warehousing, Distribution, Storage","1979","7","184189"
"014812202","light industrial","1910","7","184185"
"6332-012-013","Warehousing, Distribution, Storage","1984","7","184119"
"8005-019-038","Warehousing, Distribution, Storage","2003","6","183976"
"016745108","distribution warehouse","2008","6","183937"
"023814207","distribution warehouse","1990","6","183842"
"191090020","warehouse/dry storage","1985","6","183800"
"041008118","light industrial","1989","6","183798"
"7318-015-015","Warehousing, Distribution, Storage","1979","6","183787"
"022932118","light industrial","1971","6","183632"
"231260069","light industrial","1989","6","183502"
"8217-002-010","Warehousing, Distribution, Storage","1973","6","183453"
"023805140","flex","2006","6","183279"
"7315-036-068","Warehousing, Distribution, Storage","1986","6","183180"
"8069-016-024","Warehousing, Distribution, Storage","1964","6","183175"
"023817172","storage warehouse","1980","6","183030"
"7310-013-099","Warehousing, Distribution, Storage","1993","6","182968"
"263080023","warehouse/dry storage","2017","6","182808"
"8167-001-027","Warehousing, Distribution, Storage","1986","6","182799"
"6336-017-018","Warehousing, Distribution, Storage","1957","6","182632"
"020901221","flex","1989","6","182431"
"023805123","distribution warehouse","1989","6","182301"
"111001119","distribution warehouse","2008","6","182246"
"101947109","light industrial","1988","6","182190"
"8760-007-048","Warehousing, Distribution, Storage","1980","6","182182"
"8760-007-040","Warehousing, Distribution, Storage","1987","6","182168"
"5243-020-816","Warehousing, Distribution, Storage","1961","6","182070"
"104942101","light industrial","1964","6","182045"
"8760-025-064","Warehousing, Distribution, Storage","1997","6","181896"
"011327136","distribution warehouse","2000","6","181633"
"6308-015-043","Warehousing, Distribution, Storage","1910","6","181537"
"7010-015-036","Warehousing, Distribution, Storage","1977","6","181513"
"6302-006-025","Warehousing, Distribution, Storage","1962","6","181430"
"693230016","warehouse/dry storage","2007","6","181402"
"115580024","warehouse/dry storage","1999","6","181398"
"023519103","storage warehouse","1981","6","181311"
"7316-025-113","Warehousing, Distribution, Storage","1984","6","180773"
"6332-002-080","Warehousing, Distribution, Storage","2014","6","180509"
"8069-009-020","Warehousing, Distribution, Storage","1979","6","180471"
"294050081","light industrial","2020","6","180363"
"023810178","light industrial","1998","6","180228"
"012806331","distribution warehouse","2006","6","180226"
"7306-015-021","Warehousing, Distribution, Storage","2007","6","179974"
"263070029","light industrial","1986","6","179967"
"119300079","light industrial","1991","6","179908"
"7318-023-050","Warehousing, Distribution, Storage","2002","6","179822"
"8002-016-031","Warehousing, Distribution, Storage","1986","6","179740"
"255120014","warehouse/dry storage","2002","6","179696"
"5627-027-079","Warehousing, Distribution, Storage","1961","6","179656"
"024020164","distribution warehouse","2018","6","179422"
"6336-002-018","Warehousing, Distribution, Storage","1987","6","179246"
"7005-005-070","Warehousing, Distribution, Storage","1974","6","179163"
"8719-005-012","Warehousing, Distribution, Storage","2003","6","179160"
"011339502","light industrial","1990","6","179126"
"102040028","light industrial","1990","6","179117"
"135220041","light industrial","2018","6","179075"
"021130113","flex","2006","6","179036"
"209151004","warehouse/dry storage","1924","6","179032"
"021124238","distribution warehouse","1988","6","178960"
"305100063","light industrial","1910","6","178915"
"041003107","light industrial","2020","6","178908"
"7359-029-020","Warehousing, Distribution, Storage","1976","6","178894"
"336180026","warehouse/dry storage","2003","6","178851"
"5169-004-002","Warehousing, Distribution, Storage","1935","6","178821"
"377110046","light industrial","1991","6","178773"
"021124260","light industrial","1997","6","178709"
"2827-053-003","Warehousing, Distribution, Storage","2020","6","178665"
"7352-011-007","Warehousing, Distribution, Storage","1960","6","178636"
"028104129","storage warehouse","1976","6","178566"
"118320001","light industrial","1910","6","178490"
"257110010","light industrial","2008","6","178383"
"6303-002-028","Warehousing, Distribution, Storage","2007","6","178326"
"7422-009-024","Warehousing, Distribution, Storage","1978","6","178320"
"6336-009-013","Warehousing, Distribution, Storage","1979","6","178268"
"8217-001-007","Warehousing, Distribution, Storage","1974","6","178227"
"102400086","light industrial","2001","6","178169"
"4061-028-056","Warehousing, Distribution, Storage","1980","6","178094"
"8417-035-010","Warehousing, Distribution, Storage","2001","6","178071"
"107030033","light industrial","2014","6","177983"
"020926216","distribution warehouse","1985","6","177861"
"014801169","distribution warehouse","2007","6","177834"
"012815152","light industrial","2006","6","177713"
"8417-025-038","Warehousing, Distribution, Storage","1910","6","177575"
"023608128","distribution warehouse","2020","6","177468"
"7351-021-038","Warehousing, Distribution, Storage","2000","6","177452"
"6368-008-022","Warehousing, Distribution, Storage","2019","6","177446"
"6332-011-003","Warehousing, Distribution, Storage","2015","6","177402"
"022926229","distribution warehouse","1989","6","177390"
"6303-011-047","Warehousing, Distribution, Storage","1965","6","177196"
"025806125","light industrial","1942","6","177094"
"7010-015-056","Warehousing, Distribution, Storage","1974","6","177058"
"023805141","flex","2006","6","176955"
"8719-006-014","Warehousing, Distribution, Storage","2002","6","176951"
"021128131","distribution warehouse","2001","6","176902"
"104921115","flex","2017","6","176895"
"116719101","light industrial","1982","6","176824"
"8760-006-013","Warehousing, Distribution, Storage","1977","6","176685"
"189160074","light industrial","1985","6","176610"
"011345133","light industrial","1968","6","176576"
"107180027","light industrial","1910","6","176542"
"020896104","distribution warehouse","1984","6","176512"
"8390-016-005","Warehousing, Distribution, Storage","1987","6","176337"
"7306-006-030","Warehousing, Distribution, Storage","1971","6","176167"
"305030025","light industrial","1984","6","175961"
"8170-026-009","Warehousing, Distribution, Storage","2004","6","175867"
"8169-001-016","Warehousing, Distribution, Storage","1996","6","175762"
"102515122","storage warehouse","2001","6","175458"
"027806307","distribution warehouse","1960","6","175438"
"8009-007-927","Warehousing, Distribution, Storage","1910","6","175418"
"023817170","light industrial","2000","6","175289"
"8264-022-012","Warehousing, Distribution, Storage","1989","6","175254"
"2866-047-030","Warehousing, Distribution, Storage","2003","6","175185"
"023809185","flex","1991","6","175134"
"4149-007-010","Warehousing, Distribution, Storage","1963","6","175035"
"021124249","light industrial","1996","6","174980"
"027614451","light industrial","2004","6","174976"
"108307115","distribution warehouse","2000","6","174961"
"8114-010-015","Warehousing, Distribution, Storage","1968","6","174848"
"7315-004-035","Warehousing, Distribution, Storage","1986","6","174804"
"3271-029-085","Warehousing, Distribution, Storage","2002","6","174756"
"6332-017-022","Warehousing, Distribution, Storage","1966","6","174722"
"156200038","warehouse/dry storage","2000","6","174703"
"6137-001-018","Warehousing, Distribution, Storage","2008","6","174583"
"023822111","distribution warehouse","1984","6","174465"
"7113-007-020","Warehousing, Distribution, Storage","1970","6","174458"
"8264-024-009","Warehousing, Distribution, Storage","1967","6","174350"
"102248108","light industrial","1998","6","174306"
"6239-002-008","Warehousing, Distribution, Storage","1985","6","174168"
"029203239","light industrial","1990","6","174147"
"028031237","light industrial","1980","6","174025"
"263250075","warehouse/dry storage","2017","6","174021"
"016431129","light industrial","1963","6","174004"
"610280023","light industrial","2006","6","173952"
"3131-011-038","Warehousing, Distribution, Storage","2007","6","173941"
"7316-025-108","Warehousing, Distribution, Storage","2000","6","173939"
"869060006","warehouse/dry storage","1910","6","173629"
"2206-005-021","Warehousing, Distribution, Storage","1998","6","173552"
"156350052","warehouse/dry storage","1998","6","173438"
"219330040","light industrial","2022","6","173434"
"8002-017-020","Warehousing, Distribution, Storage","1981","6","173189"
"023804225","flex","2002","6","173167"
"102705102","light industrial","2007","6","173106"
"331110018","light industrial","2006","6","173074"
"2215-001-020","Warehousing, Distribution, Storage","2008","6","173030"
"8535-011-906","Warehousing, Distribution, Storage","1982","6","172976"
"8707-007-022","Warehousing, Distribution, Storage","2008","6","172808"
"294100059","light industrial","2021","6","172790"
"102706105","distribution warehouse","2013","6","172780"
"763141029","light industrial","1953","6","172756"
"6332-021-001","Warehousing, Distribution, Storage","1973","6","172676"
"027702234","light industrial","1979","6","172622"
"021007132","light industrial","1972","6","172560"
"8208-002-044","Warehousing, Distribution, Storage","2002","6","172535"
"921020061","light industrial","2001","6","172410"
"6369-006-026","Warehousing, Distribution, Storage","2000","6","172373"
"8264-010-047","Warehousing, Distribution, Storage","2001","6","172362"
"223050011","warehouse/dry storage","1990","6","172330"
"7003-012-019","Warehousing, Distribution, Storage","1964","6","172314"
"7306-023-061","Warehousing, Distribution, Storage","1972","6","172300"
"107160056","light industrial","1990","6","172266"
"5169-029-017","Warehousing, Distribution, Storage","1980","6","172158"
"6302-017-024","Warehousing, Distribution, Storage","1954","6","172148"
"107315107","light industrial","2021","6","172104"
"047206107","transit warehouse (truck terminal)","1972","6","172085"
"2466-011-043","Warehousing, Distribution, Storage","1910","6","172046"
"020941118","distribution warehouse","1986","6","171980"
"6336-006-010","Warehousing, Distribution, Storage","1964","6","171562"
"023424117","distribution warehouse","2020","6","171534"
"2603-007-026","Warehousing, Distribution, Storage","1999","6","171419"
"317160021","light industrial","1910","6","171376"
"065028217","storage warehouse","2017","6","171367"
"025325101","distribution warehouse","2021","6","171214"
"211060018","light industrial","1983","6","171078"
"2839-004-036","Warehousing, Distribution, Storage","1989","6","171071"
"020901368","flex","2005","6","170996"
"234270033","light industrial","1966","6","170976"
"025601132","distribution warehouse","2013","6","170974"
"020915138","distribution warehouse","2013","6","170972"
"3271-026-007","Warehousing, Distribution, Storage","1999","6","170933"
"028110115","light industrial","1980","6","170930"
"3129-017-044","Warehousing, Distribution, Storage","2021","6","170870"
"013646120","distribution warehouse","2020","6","170846"
"7351-033-060","Warehousing, Distribution, Storage","2003","6","170802"
"8026-001-071","Warehousing, Distribution, Storage","2003","6","170765"
"3271-032-025","Warehousing, Distribution, Storage","2017","6","170622"
"020921171","distribution warehouse","2021","6","170543"
"8264-004-088","Warehousing, Distribution, Storage","1966","6","170516"
"606092005","light industrial","1945","6","170479"
"011339511","distribution warehouse","1989","6","170394"
"132020019","light industrial","1910","6","170366"
"023618128","distribution warehouse","2017","6","170310"
"8619-010-060","Warehousing, Distribution, Storage","1987","6","170107"
"6302-017-052","Warehousing, Distribution, Storage","1932","6","170016"
"102139126","light industrial","1988","6","169996"
"175160044","warehouse/dry storage","2021","6","169920"
"023817137","distribution warehouse","1978","6","169851"
"921020054","light industrial","1992","6","169773"
"156310075","light industrial","1997","6","169742"
"6308-016-039","Warehousing, Distribution, Storage","1967","6","169721"
"210190027","warehouse/dry storage","1981","6","169476"
"023815228","light industrial","1998","6","169470"
"023808185","light industrial","1981","6","169466"
"7003-011-030","Warehousing, Distribution, Storage","1966","6","169251"
"233150019","light industrial","1910","6","169218"
"156340058","light industrial","2009","6","169133"
"6310-008-016","Warehousing, Distribution, Storage","1999","6","169111"
"020914508","light industrial","2006","6","169046"
"023810177","flex","1998","6","169006"
"108336115","distribution warehouse","2007","6","168991"
"023817431","distribution warehouse","1994","6","168960"
"312926158","storage warehouse","2001","6","168752"
"6335-025-011","Warehousing, Distribution, Storage","1950","6","168676"
"8208-023-062","Warehousing, Distribution, Storage","1999","6","168633"
"8069-015-056","Warehousing, Distribution, Storage","1972","6","168585"
"7149-001-117","Warehousing, Distribution, Storage","2013","6","168538"
"8371-011-020","Warehousing, Distribution, Storage","1983","6","168486"
"2866-013-101","Warehousing, Distribution, Storage","1985","6","168254"
"8009-020-024","Warehousing, Distribution, Storage","1991","6","168238"
"101353107","light industrial","1924","6","168232"
"8011-005-031","Warehousing, Distribution, Storage","2000","6","168188"
"331220041","light industrial","1995","6","168175"
"6216-036-013","Warehousing, Distribution, Storage","1969","6","168079"
"8208-026-037","Warehousing, Distribution, Storage","1974","6","168067"
"102055158","light industrial","1978","6","168061"
"8563-004-014","Warehousing, Distribution, Storage","1973","6","168036"
"603232031","light industrial","2019","6","168017"
"3123-002-066","Warehousing, Distribution, Storage","2004","6","167970"
"8719-023-907","Warehousing, Distribution, Storage","2021","6","167934"
"2319-005-034","Warehousing, Distribution, Storage","1953","6","167799"
"156360039","warehouse/dry storage","2001","6","167790"
"023812168","distribution warehouse","2001","6","167665"
"4138-012-819","Warehousing, Distribution, Storage","2000","6","167562"
"023816150","light industrial","1990","6","167536"
"8417-027-093","Warehousing, Distribution, Storage","2003","6","167502"
"025112121","storage building","1910","6","167487"
"7336-005-053","Warehousing, Distribution, Storage","1983","6","167418"
"921281021","light industrial","1996","6","167403"
"872260001","light industrial","1910","6","167133"
"6303-001-012","Warehousing, Distribution, Storage","1948","6","167111"
"312270012","warehouse/dry storage","2003","6","167036"
"7318-009-122","Warehousing, Distribution, Storage","2000","6","167010"
"023706134","storage warehouse","1989","6","166995"
"020926213","light industrial","1968","6","166905"
"8330-012-021","Warehousing, Distribution, Storage","1981","6","166894"
"6369-027-022","Warehousing, Distribution, Storage","2003","6","166887"
"8329-006-045","Warehousing, Distribution, Storage","1946","6","166817"
"028104136","light industrial","1979","6","166803"
"021124239","light industrial","1988","6","166771"
"6216-035-002","Warehousing, Distribution, Storage","1980","6","166749"
"249130042","light industrial","1999","6","166706"
"8218-009-032","Warehousing, Distribution, Storage","2001","6","166642"
"021124224","distribution warehouse","2007","6","166620"
"8760-029-051","Warehousing, Distribution, Storage","1996","6","166556"
"7316-028-015","Warehousing, Distribution, Storage","1990","6","166526"
"297170072","light industrial","2007","6","166505"
"7318-021-048","Warehousing, Distribution, Storage","1981","6","166406"
"6302-020-059","Warehousing, Distribution, Storage","1993","6","166357"
"8264-015-050","Warehousing, Distribution, Storage","1910","6","166328"
"8069-008-031","Warehousing, Distribution, Storage","1983","6","166311"
"763350025","light industrial","1984","6","166181"
"027901140","distribution warehouse","1980","6","166140"
"249040013","light industrial","1966","6","166137"
"020940106","light industrial","1985","6","166076"
"963081028","light industrial","1910","6","166006"
"234160065","light industrial","1989","6","165981"
"021124245","light industrial","1996","6","165958"
"101350017","warehouse/dry storage","2003","6","165948"
"6332-002-021","Warehousing, Distribution, Storage","1980","6","165815"
"023813340","light industrial","1989","6","165795"
"426140023","warehouse/dry storage","1958","6","165774"
"8620-006-033","Warehousing, Distribution, Storage","1978","6","165708"
"370051032","light industrial","2005","6","165531"
"156200023","warehouse/dry storage","1989","6","165491"
"210130015","light industrial","1948","6","165424"
"7351-021-043","Warehousing, Distribution, Storage","2001","6","165422"
"8206-019-068","Warehousing, Distribution, Storage","1971","6","165399"
"7005-003-069","Warehousing, Distribution, Storage","1984","6","165356"
"025811138","cold storage facility","1992","6","165317"
"023804224","distribution warehouse","1988","6","165172"
"107070074","light industrial","2005","6","165133"
"011339538","light industrial","1979","6","165132"
"4053-005-009","Warehousing, Distribution, Storage","1951","6","165018"
"7001-010-053","Warehousing, Distribution, Storage","1987","6","164998"
"6303-001-015","Warehousing, Distribution, Storage","2015","6","164986"
"6336-009-031","Warehousing, Distribution, Storage","1956","6","164887"
"107320015","light industrial","1969","6","164809"
"8386-017-031","Warehousing, Distribution, Storage","1980","6","164641"
"370050023","light industrial","2006","6","164533"
"141320006","light industrial","1910","6","164457"
"255120034","light industrial","2001","6","164425"
"049723134","light industrial","1985","6","164421"
"7319-004-058","Warehousing, Distribution, Storage","1981","6","164375"
"023817158","storage warehouse","1986","6","164337"
"175210039","light industrial","2005","6","164283"
"7319-028-056","Warehousing, Distribution, Storage","1979","6","164172"
"020919309","light industrial","1986","6","164076"
"156360041","warehouse/dry storage","2015","6","164059"
"113320121","distribution warehouse","2019","6","163933"
"023822116","distribution warehouse","1987","6","163825"
"2209-031-001","Warehousing, Distribution, Storage","1995","6","163745"
"8242-015-039","Warehousing, Distribution, Storage","1973","6","163677"
"7316-025-104","Warehousing, Distribution, Storage","1998","6","163611"
"013908142","light industrial","1963","6","163375"
"115580032","light industrial","2002","6","163360"
"2149-005-045","Warehousing, Distribution, Storage","1973","6","163350"
"8264-007-065","Warehousing, Distribution, Storage","1999","6","163340"
"021127533","light industrial","1990","6","163161"
"026002155","distribution warehouse","2006","6","163159"
"023818508","flex","2004","6","163128"
"8616-001-022","Warehousing, Distribution, Storage","1983","6","163041"
"025503133","distribution warehouse","2021","6","163001"
"6332-012-045","Warehousing, Distribution, Storage","1985","6","162998"
"347100023","warehouse/dry storage","2017","6","162937"
"6332-017-034","Warehousing, Distribution, Storage","2006","6","162924"
"023819317","distribution warehouse","1986","6","162871"
"102250108","distribution warehouse","1998","6","162553"
"8005-015-037","Warehousing, Distribution, Storage","2000","6","162509"
"011344218","distribution warehouse","1999","6","162422"
"6332-002-010","Warehousing, Distribution, Storage","1979","6","162350"
"6336-009-033","Warehousing, Distribution, Storage","1953","6","162336"
"023804227","distribution warehouse","1988","6","162163"
"021037102","storage warehouse","2016","6","162063"
"439080006","light industrial","1951","6","162010"
"8168-001-035","Warehousing, Distribution, Storage","1999","6","161944"
"317110076","light industrial","2021","6","161941"
"107050028","light industrial","1978","6","161870"
"101207210","distribution warehouse","2015","6","161810"
"8348-005-020","Warehousing, Distribution, Storage","1938","6","161734"
"7319-034-011","Warehousing, Distribution, Storage","1979","6","161592"
"909060094","warehouse/dry storage","2004","6","161582"
"7315-031-020","Warehousing, Distribution, Storage","1973","6","161582"
"263060044","light industrial","2018","6","161533"
"7003-011-003","Warehousing, Distribution, Storage","1969","6","161471"
"031801311","light industrial","1950","6","161348"
"6354-024-024","Warehousing, Distribution, Storage","1972","6","161317"
"7351-031-031","Warehousing, Distribution, Storage","2000","6","161254"
"6242-020-051","Warehousing, Distribution, Storage","1963","6","161109"
"2215-001-018","Warehousing, Distribution, Storage","1990","6","161094"
"7318-004-036","Warehousing, Distribution, Storage","1983","6","161051"
"303080013","light industrial","2000","6","160866"
"2811-002-067","Warehousing, Distribution, Storage","2000","6","160862"
"3271-029-090","Warehousing, Distribution, Storage","2002","6","160480"
"8264-027-010","Warehousing, Distribution, Storage","1979","6","160408"
"8719-005-010","Warehousing, Distribution, Storage","2003","6","160395"
"8720-025-054","Warehousing, Distribution, Storage","1989","6","160107"
"2866-013-106","Warehousing, Distribution, Storage","1987","6","159894"
"3271-026-067","Warehousing, Distribution, Storage","1999","6","159723"
"255120031","light industrial","1999","6","159653"
"7315-036-065","Warehousing, Distribution, Storage","1980","6","159645"
"8069-006-036","Warehousing, Distribution, Storage","1999","6","159582"
"910110041","light industrial","1910","6","159561"
"011344110","distribution warehouse","1997","6","159549"
"8564-004-902","Warehousing, Distribution, Storage","1988","6","159525"
"027702292","storage building","1995","6","159440"
"8562-015-027","Warehousing, Distribution, Storage","1960","6","159409"
"028018151","distribution warehouse","2007","6","159361"
"8069-013-019","Warehousing, Distribution, Storage","1980","6","159222"
"291070036","warehouse/dry storage","1910","6","159101"
"7003-013-016","Warehousing, Distribution, Storage","1968","6","158895"
"8615-022-041","Warehousing, Distribution, Storage","2000","6","158723"
"021122203","light industrial","1989","6","158606"
"016106139","light industrial","1961","6","158549"
"175190027","light industrial","1910","6","158459"
"101601111","transit warehouse (truck terminal)","1987","6","158359"
"023817144","light industrial","1979","6","158298"
"7352-016-030","Warehousing, Distribution, Storage","1982","6","158231"
"045944142","light industrial","2005","6","158220"
"045919208","light industrial","1999","6","158203"
"8168-007-030","Warehousing, Distribution, Storage","1966","6","158200"
"297232005","light industrial","1910","6","158178"
"013101110","distribution warehouse","2008","6","158147"
"7001-015-015","Warehousing, Distribution, Storage","1989","6","158123"
"6308-014-032","Warehousing, Distribution, Storage","1961","6","158049"
"8348-022-054","Warehousing, Distribution, Storage","2014","6","158016"
"8242-015-054","Warehousing, Distribution, Storage","1974","6","158007"
"8044-004-020","Warehousing, Distribution, Storage","2003","6","157995"
"666330051","light industrial","1982","6","157879"
"7318-021-051","Warehousing, Distribution, Storage","1982","6","157811"
"8125-014-043","Warehousing, Distribution, Storage","1974","6","157658"
"4149-007-031","Warehousing, Distribution, Storage","1977","6","157635"
"156030020","warehouse/dry storage","1971","6","157580"
"312926120","light industrial","1995","6","157474"
"7107-002-013","Warehousing, Distribution, Storage","1992","6","157447"
"507380024","warehouse/dry storage","1976","6","157428"
"4138-014-048","Warehousing, Distribution, Storage","1988","6","157414"
"011339431","distribution warehouse","2021","6","157189"
"028028112","light industrial","1980","6","157144"
"909373047","light industrial","2007","6","157097"
"107310023","light industrial","1993","6","157024"
"8119-008-800","Warehousing, Distribution, Storage","2002","6","157022"
"102515112","flex","2001","6","157003"
"3271-025-056","Warehousing, Distribution, Storage","1998","6","156930"
"247170022","light industrial","1970","6","156923"
"022926248","distribution warehouse","2015","6","156847"
"8563-005-006","Warehousing, Distribution, Storage","1973","6","156838"
"255120027","light industrial","1998","6","156810"
"023805135","flex","2006","6","156807"
"023814422","distribution warehouse","2005","6","156719"
"279140033","light industrial","2022","6","156676"
"7315-031-021","Warehousing, Distribution, Storage","1970","6","156585"
"751350005","light industrial","1966","6","156580"
"7315-035-051","Warehousing, Distribution, Storage","1972","6","156576"
"7318-014-019","Warehousing, Distribution, Storage","1984","6","156537"
"297230026","light industrial","1910","6","156524"
"763131029","light industrial","1987","6","156508"
"7001-020-040","Warehousing, Distribution, Storage","1999","6","156433"
"8564-013-030","Warehousing, Distribution, Storage","2015","6","156422"
"8245-003-012","Warehousing, Distribution, Storage","1969","6","156347"
"263280064","light industrial","2005","6","156321"
"023705313","distribution warehouse","2021","6","156309"
"8564-013-027","Warehousing, Distribution, Storage","1971","6","156282"
"7306-002-042","Warehousing, Distribution, Storage","1970","6","156235"
"6336-005-022","Warehousing, Distribution, Storage","1985","6","156210"
"6303-002-026","Warehousing, Distribution, Storage","1973","6","156207"
"5243-022-010","Warehousing, Distribution, Storage","1987","6","155911"
"532130006","light industrial","1960","6","155866"
"8059-005-039","Warehousing, Distribution, Storage","1984","6","155824"
"102420045","light industrial","1989","6","155813"
"7318-009-037","Warehousing, Distribution, Storage","1986","6","155802"
"2466-036-036","Warehousing, Distribution, Storage","2006","6","155791"
"8168-018-036","Warehousing, Distribution, Storage","1980","6","155783"
"6368-007-015","Warehousing, Distribution, Storage","1980","5","155708"
"8242-027-001","Warehousing, Distribution, Storage","1910","5","155466"
"7003-001-031","Warehousing, Distribution, Storage","1997","5","155395"
"8760-022-026","Warehousing, Distribution, Storage","1987","5","155385"
"156090038","light industrial","1910","5","155343"
"8125-016-031","Warehousing, Distribution, Storage","1977","5","155342"
"011345137","light industrial","1972","5","155165"
"102252136","light industrial","2002","5","155108"
"142160022","light industrial","1977","5","155102"
"023602123","distribution warehouse","2020","5","155046"
"021122245","light industrial","1990","5","155025"
"918200025","light industrial","1910","5","154943"
"237040020","warehouse/dry storage","2019","5","154885"
"6125-002-029","Warehousing, Distribution, Storage","2015","5","154700"
"189060001","light industrial","1964","5","154604"
"026636224","light industrial","1984","5","154512"
"151031041","light industrial","1987","5","154484"
"8562-015-013","Warehousing, Distribution, Storage","2001","5","154454"
"7003-011-031","Warehousing, Distribution, Storage","1966","5","154425"
"3005-046-011","Warehousing, Distribution, Storage","2005","5","154411"
"8026-042-021","Warehousing, Distribution, Storage","2004","5","154388"
"8616-001-421","Warehousing, Distribution, Storage","1999","5","154371"
"3271-032-012","Warehousing, Distribution, Storage","2017","5","154326"
"022927145","distribution warehouse","2006","5","154182"
"7003-003-016","Warehousing, Distribution, Storage","1972","5","154025"
"247170024","light industrial","1983","5","153927"
"2501-006-043","Warehousing, Distribution, Storage","1999","5","153880"
"7336-003-029","Warehousing, Distribution, Storage","1968","5","153849"
"8044-004-025","Warehousing, Distribution, Storage","2004","5","153792"
"6232-005-008","Warehousing, Distribution, Storage","1988","5","153790"
"020914502","light industrial","1972","5","153748"
"8707-019-009","Warehousing, Distribution, Storage","2015","5","153745"
"6332-002-035","Warehousing, Distribution, Storage","1950","5","153722"
"014210140","light industrial","2001","5","153718"
"119290043","light industrial","1986","5","153564"
"023614122","transit warehouse (truck terminal)","2017","5","153485"
"7318-011-091","Warehousing, Distribution, Storage","1989","5","153394"
"8011-017-065","Warehousing, Distribution, Storage","1998","5","153379"
"312926121","storage warehouse","1992","5","153329"
"2866-008-028","Warehousing, Distribution, Storage","1978","5","153261"
"8264-025-058","Warehousing, Distribution, Storage","2018","5","153194"
"4049-011-017","Warehousing, Distribution, Storage","1997","5","153193"
"101947105","light industrial","1971","5","153177"
"603300021","light industrial","1973","5","153116"
"022926240","distribution warehouse","1991","5","153056"
"021124258","distribution warehouse","1999","5","152997"
"6353-019-016","Warehousing, Distribution, Storage","1988","5","152995"
"3271-030-094","Warehousing, Distribution, Storage","2017","5","152930"
"6332-021-010","Warehousing, Distribution, Storage","1976","5","152838"
"6125-013-046","Warehousing, Distribution, Storage","1977","5","152721"
"020901204","light industrial","1965","5","152573"
"027519209","distribution warehouse","2021","5","152370"
"7351-034-061","Warehousing, Distribution, Storage","1979","5","152296"
"7315-032-046","Warehousing, Distribution, Storage","1972","5","152270"
"8208-001-052","Warehousing, Distribution, Storage","1974","5","152228"
"626420054","light industrial","2007","5","152132"
"8005-019-030","Warehousing, Distribution, Storage","2003","5","152088"
"6169-017-004","Warehousing, Distribution, Storage","1949","5","152055"
"6308-007-018","Warehousing, Distribution, Storage","1925","5","152037"
"305030056","light industrial","2005","5","151836"
"101350013","light industrial","1990","5","151752"
"019437126","distribution warehouse","2006","5","151734"
"2501-005-009","Warehousing, Distribution, Storage","1985","5","151637"
"384180052","light industrial","2021","5","151612"
"025813137","light industrial","1978","5","151608"
"8760-024-049","Warehousing, Distribution, Storage","1996","5","151543"
"028023233","distribution warehouse","2019","5","151534"
"102420052","light industrial","1993","5","151487"
"482210096","warehouse/dry storage","2003","5","151289"
"2632-026-019","Warehousing, Distribution, Storage","2002","5","151192"
"129200015","light industrial","2019","5","151176"
"7149-005-008","Warehousing, Distribution, Storage","2017","5","151120"
"6310-009-024","Warehousing, Distribution, Storage","2020","5","151096"
"023818544","distribution warehouse","2000","5","151087"
"028143104","distribution warehouse","2015","5","150981"
"023813321","distribution warehouse","1989","5","150917"
"7212-021-054","Warehousing, Distribution, Storage","1972","5","150902"
"101213106","storage warehouse","1998","5","150769"
"119270016","light industrial","1999","5","150734"
"279061002","light industrial","1977","5","150626"
"591-074-03","wholesaling and warehousing","2015","5","150602"
"8710-013-017","Warehousing, Distribution, Storage","1985","5","150549"
"384180051","light industrial","2018","5","150544"
